FID,acq_date,b08_mean,b08_count,b08_std,b11_mean,b11_count,b11_std,b04_mean,b04_count,b04_std,red,green,blue,class
8150,2020-04-20,4979.506410256412,156,367.33146667588437,1707.7820512820515,156,192.58999722364555,266.051282051282,156,77.51210476720728,0.0,0.0,0.0,3.0
835,2020-08-13,2046.194373401536,391,223.981279137694,2386.636828644501,391,448.0043567486974,860.6189258312022,391,209.2125787998274,0.0,0.0,0.0,3.0
8803,2020-11-03,4861.766211604097,1172,374.86090781334195,1848.6928327645053,1172,75.46739881129773,153.75426621160432,1172,43.625348015455856,0.0,0.0,0.0,3.0
1181,2020-04-05,4201.104477611939,67,310.8278844755181,2058.8507462686566,67,151.4002575686675,420.22388059701484,67,73.63481161571947,205.0,87.0,16.0,5.0
8789,2020-01-18,2542.682352941177,170,297.09178992257864,1493.2882352941172,170,167.2548789582202,599.1352941176473,170,56.43721380422677,139.0,103.0,34.0,4.0
1541,2020-04-12,2090.1538461538457,26,248.62175163210358,2665.846153846154,26,389.1829073644105,1053.8461538461538,26,122.73082491621813,127.0,79.0,48.0,7.0
2110,2020-02-07,3062.1521739130426,92,720.2701101209766,1851.7499999999993,92,363.5505806972043,406.00000000000017,92,147.49036101863277,187.0,72.0,12.0,5.0
3739,2020-08-10,3066.019073569482,1101,190.89479396552693,3350.2470481380583,1101,274.89271759080935,1027.8256130790187,1101,211.21691675903213,222.0,77.0,17.0,5.0
340,2020-11-03,4027.47899159664,119,507.12733413757445,2011.0336134453776,119,122.76834550148253,365.52941176470597,119,24.348397618738648,135.0,51.0,17.0,5.0
3726,2020-08-16,2648.934782608696,92,367.8476095230475,2043.130434782609,92,414.7736100995021,658.8804347826086,92,124.77028055470178,239.0,78.0,12.0,5.0
12581,2020-02-07,3191.1651376146788,218,388.1437572479222,1593.5412844036698,218,120.72103135811744,297.70642201834863,218,43.35871228389811,243.0,89.0,16.0,5.0
9170,2020-04-05,3045.933333333333,15,360.05167618525195,2371.4666666666667,15,269.8501877144498,852.7333333333335,15,242.1175826112672,186.0,72.0,15.0,5.0
