"cwithin","chalf","call","date","band","count","MIN","P25","P50","P75","MAX","MEDIAN","MEAN","SE.MEAN","CI.MEAN.0.95","VAR","STD.DEV","COEF.VAR","SKEWNESS","SKEW.2SE","KURTOSIS","KURT.2SE","NORMTEST.W","NORMTEST.P","ENTROPY","hist.0","hist.1","hist.2","hist.3","hist.4","hist.5","hist.6","hist.7","hist.8","hist.9","hist.10","hist.11"
185,205,242,2020-04-23,"GARI",185,0.371949438092827,0.433653430939113,0.480914767792895,0.500868856327634,0.5506168666554,0.480914767792895,0.468909022589619,0.00315362177927953,0.00622190826370264,0.00183988611044804,0.0428938936265763,0.0914759400228396,-0.520586989759024,-1.45698088919406,-0.861547092643078,-1.21187180500877,0.935698220493276,2.49778794525629e-07,5.21611482711286,0,0,0,0,185,0,0,0,0,0,0,0
185,205,242,2020-04-23,"NDVI",185,0.551883674818242,0.605915813424346,0.650186567164179,0.666587169091343,0.699074074074074,0.650186567164179,0.637999535578682,0.0026468884997391,0.00522215363231941,0.00129611346505945,0.0360015758691123,0.0564288433791068,-0.564511332954669,-1.57991313657135,-0.848410437658437,-1.19339348626803,0.931385777526847,1.13805182425562e-07,5.2187535236159,0,0,0,0,185,0,0,0,0,0,0,0
185,205,242,2020-04-23,"BSI",185,-0.139133975838197,-0.0935505770536321,-0.0775586353944563,-0.0487521013836803,-0.00312070902509057,-0.0775586353944563,-0.0714394746248296,0.00228011770176677,0.00449853665523532,0.000961803295773386,0.0310129536770264,-0.434115086090618,0.424834872300234,1.18899684813706,-0.714455917079854,-1.0049700001593,0.96211016270971,6.82675029422199e-05,5.10879340920434,0,0,0,0,185,0,0,0,0,0,0,0
185,205,242,2020-04-28,"GARI",185,-0.151240494661648,0.0642025050363493,0.128205128205128,0.189104484490943,0.477135461604832,0.128205128205128,0.121523954557356,0.00853194816136531,0.016833026433122,0.0134669157942216,0.11604704129887,0.954931410202743,0.100470790081134,0.281190317756886,0.426691180746689,0.6001935539083,0.98042456285834,0.0106995136652579,5.22629709314818,0,0,0,0,0,0,0,0,0,185,0,0
185,205,242,2020-04-28,"NDVI",185,-0.11025641025641,-0.026691042047532,-0.00440528634361234,0.0187713310580205,0.0804403048264182,-0.00440528634361234,-0.00575597946843723,0.00284820646155234,0.00561934200109195,0.00150077180881127,0.0387397961895939,-6.73035691006589,-0.284690909138953,-0.796772147791746,0.0836709827619493,0.117693514112511,0.9851670257469,0.0479480655592906,9.7953296026947,0,0,0,0,0,0,0,0,0,185,0,0
185,205,242,2020-04-28,"BSI",185,-0.275650361232474,-0.195875077121955,-0.162995594713656,-0.133956734124215,-0.0267208330949247,-0.162995594713656,-0.161281334760654,0.00384449052999612,0.0075849512314613,0.00273431987551752,0.0522907245648549,-0.324220559325454,0.463192700357608,1.2963499390325,-0.0426639546419945,-0.0600120923885768,0.974673377754043,0.00191898406433869,5.16133303338744,0,0,0,0,0,0,0,0,0,185,0,0
185,205,242,2020-05-03,"GARI",185,-0.011032189814115,0.120188872666273,0.14762229524459,0.173044404083422,0.360794999198589,0.14762229524459,0.145879807823592,0.00367557474810197,0.00725169043711293,0.0024993221998437,0.0499932215389617,0.34270144912322,0.464972435932304,1.3013309331241,3.01609680095289,4.24251060152576,0.95541884568164,1.41291283801478e-05,5.16013700658055,0,0,0,0,0,0,0,0,0,185,0,0
185,205,242,2020-05-03,"NDVI",185,0.0217252396166133,0.0467445742904841,0.054344667247893,0.0639853747714809,0.131587669870732,0.054344667247893,0.0558361050512461,0.00115276566597624,0.00227433811827899,0.000245840705920924,0.0156793082092586,0.2808094904698,1.26036529925309,3.52741845366732,4.11512392168604,5.78842723444074,0.925601451549867,4.14423735208367e-08,5.18322470709286,0,0,0,0,0,0,0,0,0,185,0,0
185,205,242,2020-05-03,"BSI",185,-0.129403962530051,-0.0925487199082919,-0.0806009917844719,-0.0692338315659946,-0.0160955136302514,-0.0806009917844719,-0.0801138414867246,0.00134472441103037,0.00265306130886246,0.00033453249219988,0.0182902294190062,-0.22830298834237,0.453678328840152,1.26972181011971,0.964107340729691,1.35613539086752,0.979951898465345,0.00924770503690172,5.19223828448258,0,0,0,0,0,0,0,0,0,185,0,0
185,205,242,2020-05-08,"GARI",185,0.366929133858268,0.455112168313989,0.500573454280054,0.526376715726807,0.57750314634096,0.500573454280054,0.487117775559034,0.00361623089286072,0.00713460853916578,0.00241926828603885,0.0491860578420231,0.100973646025492,-0.555867364753019,-1.55572102896137,-0.657648620943609,-0.925063560808317,0.948992147983552,3.46716923705971e-06,5.21516810815336,0,0,0,0,185,0,0,0,0,0,0,0
